Chrom,Start,Stop,GeneID,Num,Strand
chr7,45567794,45568379,0610005C13Rik,0,-
chr12,85815454,85816113,0610007P14Rik,0,-
chr11,51685384,51685646,0610009B22Rik,0,-
chr18,38261879,38262629,0610009O20Rik,0,+
chr2,176619932,176622841,0610010B08Rik,0,-
chr11,23573775,23575480,0610010F05Rik,0,-
chr11,70235203,70235468,0610010K14Rik,0,-
chr17,25876997,25877163,0610011F06Rik,0,+
chr16,31947050,31948521,0610012G03Rik,0,-
chr6,72349119,72353160,0610030E20Rik,0,+
chr3,138210716,138211252,0610031O16Rik,0,-
chr4,107896948,107897802,0610037L13Rik,0,+
chr6,108577035,108578012,0610040F04Rik,0,-
chr5,63898864,63899619,0610040J01Rik,0,+
chr8,66468530,66471637,1-Mar,0,+
chr7,127214441,127214757,1-Sep,0,-
chr11,105360797,105361143,10-Mar,0,-
chr10,59164111,59164928,10-Sep,0,-
chr18,11049928,11050256,1010001N08Rik,0,-
chr15,26409419,26409573,11-Mar,0,+
chr5,93171354,93174958,11-Sep,0,+
chr6,38539362,38539449,1110001J03Rik,0,+
chr12,3403882,3406711,1110002L01Rik,0,-
chr16,90925810,90925971,1110004E09Rik,0,-
chr7,116104439,116105210,1110004F10Rik,0,+
chr5,115631048,115631816,1110006O24Rik,0,-
chr13,49202950,49203119,1110007C09Rik,0,-
chr2,156873084,156873562,1110008F13Rik,0,+
chr12,55382400,55382491,1110008L16Rik,0,+
chr2,32379100,32379360,1110008P14Rik,0,-
chrX,70389092,70389416,1110012L19Rik,0,+
chr4,41517027,41517333,1110017D15Rik,0,-
chr17,84957199,84957710,1110020A21Rik,0,-
chr16,89063409,89063707,1110025L11Rik,0,-
chr9,50762827,50763855,1110032A03Rik,0,-
chr3,68870451,68872163,1110032F04Rik,0,+
chr2,132750655,132751055,1110034G24Rik,0,+
chr4,11549699,11551143,1110037F02Rik,0,+
chr17,34950235,34950475,1110038B12Rik,0,-
chr15,76950388,76950731,1110038F14Rik,0,+
chr2,91277827,91278782,1110051M20Rik,0,-
chr17,64049861,64050425,1110058D11Rik,0,-
chr19,21597312,21598189,1110059E24Rik,0,-
chr9,122945088,122947893,1110059G10Rik,0,-
chr4,124849484,124849866,1110065P20Rik,0,-
chr9,94517863,94520314,1190002N15Rik,0,-
chr13,64481245,64481763,1190003K10Rik,0,-
chr8,120608601,120608971,1190005I06Rik,0,-
chr10,82619850,82620121,1190007I07Rik,0,-
chr16,4986857,4988341,12-Sep,0,-
chr11,73079176,73083579,1200014J11Rik,0,+
chr9,103250529,103250627,1300017J02Rik,0,-
chr5,129683390,129683489,14-Sep,0,-
chr3,144596954,144597676,15-Sep,0,+
chr3,88822009,88825414,1500004A13Rik,0,-
chr10,83761917,83762762,1500009L16Rik,0,+
chr5,114808195,114809331,1500011B03Rik,0,-
chr2,127791376,127791832,1500011K16Rik,0,-
chr2,167065849,167065862,1500012F01Rik,0,+
chr1,43742406,43742564,1500015O10Rik,0,+
chr19,36619417,36621492,1500017E21Rik,0,-
chr16,95831122,95832494,1600002D24Rik,0,-
chr17,24215055,24215858,1600002H07Rik,0,-
chr10,80174817,80175119,1600002K03Rik,0,+
chr7,109998376,109998773,1600010M07Rik,0,-
chr17,14944170,14945939,1600012H06Rik,0,+
chr7,38194970,38197565,1600014C10Rik,0,+
chr17,45732863,45733024,1600014C23Rik,0,-
chrX,85270161,85270291,1600014K23Rik,0,+
chr6,48933511,48933687,1600015I10Rik,0,+
chr16,35503169,35503413,1600019K03Rik,0,-
