Chrom,Start,Stop,GeneID,Num,Strand
chr1,134199214,134202950,Adora1,0,-
chr1,134199214,134202950,Adora1,0,-
chr1,134199214,134202950,Adora1,0,-
chr1,134199214,134202950,Adora1,0,-
chr1,134199214,134202950,Adora1,0,-
chr1,8359738,8363474,Sntg1,0,-
chr1,8359738,8363474,Sntg1,0,-
chr1,8359738,8363474,Sntg1,0,-
chr1,8359738,8363474,Sntg1,0,-
chr1,58753922,58759209,Cflar,0,+
chr1,58753922,58759209,Cflar,0,+
chr1,33453807,33454085,Prim2,0,-
chr1,58732362,58733227,Cflar,0,+
chr1,25067475,25068167,Adgrb3,0,-
chr1,58753922,58759209,Cflar,0,+
chr1,125872884,125873861,Gpr39,0,+
chr1,75485824,75485951,Obsl1,0,-
chr1,167846761,167848733,Lmx1a,0,+
chr1,175962305,175963827,Pld5,0,-
chr1,192891233,192897306,Syt14,0,-
chr1,175962305,175963827,Pld5,0,-
chr1,192891233,192897306,Syt14,0,-
chr1,184527840,184528070,1700112H15Rik,0,-
chr1,184528836,184529068,1700112H15Rik,0,-
chr1,184530084,184530165,1700112H15Rik,0,-
chr1,184531703,184531814,1700112H15Rik,0,-
chr1,184554368,184554413,1700112H15Rik,0,-
chr1,184557612,184557691,1700112H15Rik,0,-
chr1,11596984,11601821,A830018L16Rik,0,+
chr1,10324718,10325123,Cpa6,0,-
chr1,13625899,13626860,Lactb2,0,-
chr1,10324718,10325123,Cpa6,0,-
chr1,11974966,11975902,A830018L16Rik,0,+
chr1,11596334,11601821,A830018L16Rik,0,+
chr1,11974966,11975902,A830018L16Rik,0,+
chr1,20990688,20990841,Efhc1,0,+
chr1,32657541,32657738,Khdrbs2,0,+
chr1,38794508,38798028,Lonrf2,0,-
chr1,36699201,36700075,Actr1b,0,-
chr1,39842427,39842556,1700066B17Rik,0,-
chr1,39844017,39844103,1700066B17Rik,0,-
chr1,39845227,39845339,1700066B17Rik,0,-
chr1,39845664,39845846,1700066B17Rik,0,-
chr1,39847308,39847330,1700066B17Rik,0,-
chr1,46373439,46373550,Dnah7b,0,+
chr1,43033320,43035449,Gpr45,0,+
chr1,53397001,53397106,Dnah7a,0,-
chr1,54472999,54480705,Pgap1,0,-
chr1,55751463,55754285,Plcl1,0,+
chr1,62637923,62642284,Pard3b,0,+
chr1,59870485,59878081,Bmpr2,0,+
chr1,73391384,73392400,Pinc,0,-
chr1,73397030,73397214,Pinc,0,-
chr1,73400203,73400276,Pinc,0,-
chr1,73404995,73405053,Pinc,0,-
chr1,73407340,73407569,Pinc,0,-
chr1,72394722,72394953,Xrcc5,0,+
chr1,70724942,70725132,Spag16,0,+
chr1,68039965,68040040,Erbb4,0,-
chr1,70724942,70725132,Spag16,0,+
chr1,71243089,71243296,Abca12,0,-
chr1,74435509,74439390,Usp37,0,-
chr1,80501067,80501706,Dock10,0,-
chr1,89153351,89153793,Sh3bp4,0,+
chr1,87049745,87050097,Dis3l2,0,+
chr1,88218424,88220002,Ugt1a9,0,+
chr1,88218424,88220002,Ugt1a10,0,+
chr1,84906704,84907277,Slc16a14,0,-
chr1,87049745,87050097,Dis3l2,0,+
chr1,93309436,93310091,Pask,0,-
chr1,106956797,106957078,Serpinb12,0,+
chr1,106956797,106957080,Serpinb12,0,+
chr1,104994385,104995481,Cdh20,0,+
chr1,110138355,110139001,Cdh7,0,+
chr1,118606994,118609462,Clasp1,0,+
chr1,123332137,123334248,Dpp10,0,-
chr1,118606994,118609462,Clasp1,0,+
chr1,118606994,118609462,Clasp1,0,+
chr1,127942610,127943876,Rab3gap1,0,+
chr1,132113546,132114935,Cdk18,0,-
chr1,131053703,131055091,Mapkapk2,0,-
chr1,130218180,130219278,Thsd7b,0,+
chr1,140609712,140610261,Kcnt2,0,+
chr1,139493750,139494088,Aspm,0,+
chr1,135262698,135262970,Rnpep,0,-
chr1,136268122,136270841,Camsap2,0,-
chr1,135262698,135262970,Rnpep,0,-
chr1,143607498,143608520,Cdc73,0,-
chr1,146902117,146902472,Brinp3,0,+
chr1,149829618,149830060,Pla2g4a,0,-
chr1,146902117,146902472,Brinp3,0,+
chr1,157135182,157140710,Rasal2,0,-
chr1,151884523,151893393,1700025G04Rik,0,-
chr1,155202016,155203517,Stx6,0,+
chr1,153115670,153119261,Nmnat2,0,+
chr1,158245268,158246197,Brinp2,0,-
chr1,165648944,165650177,Rcsd1,0,-
chr1,160256571,160257251,Rabgap1l,0,-
chr1,165648944,165650177,Rcsd1,0,-
chr1,170917593,170918149,Fcrla,0,-
chr1,170917593,170918149,Fcrla,0,-
chr1,175059075,175059743,Rgs7,0,-
chr1,175059075,175059794,Rgs7,0,-
chr1,175066616,175066640,Rgs7,0,-
chr1,170917593,170918394,Fcrla,0,-
chr1,170920833,170921118,Fcrla,0,-
chr1,170921517,170921784,Fcrla,0,-
chr1,170922221,170922407,Fcrla,0,-
chr1,170927395,170927583,Fcrla,0,-
chr1,181459252,181460641,Cnih3,0,+
chr1,181459252,181460641,Cnih3,0,+
chr1,180421890,180423659,Itpkb,0,+
chr1,182461728,182462436,Trp53bp2,0,+
chr1,181459252,181460641,Cnih3,0,+
chr1,177022114,177025363,Akt3,0,-
chr1,178955038,178957460,Smyd3,0,-
